,date,time,elapsed time [min],mass co2 [g],mass co2 (leak) [g],mass co2 [g] (corr),mass c5 [g],mass polyol [g],pressure (isco) [psi],temperature (isco) [C],volume (isco) [mL],mass co2 (isco) [g],mass co2 leak (isco) [g],mass co2 (refill) [g],peak area (back) co2 [a.u.],peak area (back) c5 [a.u.],peak area (front) co2 [a.u.],peak area (front) c5 [a.u.],pressure [psi],temperature [C],density co2 (vap) [g/mL],density c5 (vap) [g/mL],density co2 (liq) [g/mL],density c5 (liq) [g/mL],density polyol (liq) [g/mL],density co2 (tot) [g/mL],density co2 (tot) [g/mL] (corr),density c5 (tot) [g/mL],density polyol (tot) [g/mL],w co2 (vap) [w/w],w c5 (vap) [w/w],w co2 (liq) [w/w],w c5 (liq) [w/w],w polyol (liq) [w/w],w co2 (tot) [w/w],w c5 (tot) [w/w],w polyol (tot) [w/w],w co2 (tot) [w/w] (corr),w c5 (tot) [w/w] (corr),w polyol (tot) [w/w] (corr),liquid volume [mL],mass c5 (pred) [g],mass c5 (missing) [g],mass co2 (pred) [g],mass co2 (missing) [g],is error
10,10/4/2019,10:41:03,2571,311.2511201190881,37.2943661971831,273.95675392190503,73.16339586030256,74.34139285279781,1400,21,105.33,88.94845570858529,13.41190432490788,119.43790405864408,60300000.0,498000.0,330000000.0,723000000.0,965,39,0.19201004508686245,0.003692770085551357,0.36450845109214425,0.21955608883967415,0.32759682434867254,0.2593759334325734,0.22829729493492087,0.060969496550252134,0.061951160710664845,0.9811307257777665,0.01886927422223351,0.39982878004249384,0.24083074861130488,0.3593404713462013,0.6769113050282267,0.159116310177921,0.16167822700316548,0.648393151645977,0.17316107067215,0.17594912087226008,226.9295283939435,53.41708522508622,19.74631063521634,269.5570360277205,41.694084091367586,False
11,10/4/2019,10:54:00,2584,311.2511201190881,37.55070422535211,273.700415893736,73.16235750216778,72.3826675820069,1400,21,105.15,88.79645037271189,13.563909660781277,119.43790405864408,-1,-1,-1,-1,970,40,0.15083339074842753,0.037438608251572504,0.01001453384721643,0.0005191790673886599,0.9793626353954525,0.2593759334325734,0.22808367991144668,0.06096863125180648,0.06031888965167242,0.8011461691041348,0.1988538308958652,0.010116749965098017,0.0005244782125674045,0.9893587718223346,0.6798087238105919,0.15979511612839584,0.15809218246701737,0.6512020172473856,0.17407162000982707,0.17221654190489155,73.90793253285574,42.197691220590805,30.964666281576974,170.59243832290446,140.65868179618366,True
12,10/4/2019,12:21:18,2671,311.2511201190881,39.26619718309859,271.9849229359895,72.7389990164558,71.72255474505533,1400,21,103.54,87.43684709073314,14.923512942760027,119.43790405864408,59400000.0,1220000.0,342000000.0,697000000.0,970,34,0.20387146872868503,0.0047350476506252855,0.3773991389528971,0.21167924285599146,0.3300564184757868,0.2593759334325734,0.22665410244665793,0.060615832513713164,0.059768795620879445,0.9773015352884973,0.0226984647115027,0.410602600223611,0.23030271815454048,0.3590946816218485,0.6814212579175057,0.15924729906349913,0.1570220002958811,0.6514587786363616,0.17422458181494124,0.1717899926603273,217.3039236027369,50.65184276568711,22.087156250768686,282.3540060677851,28.897114051302992,False
13,10/4/2019,12:29:36,2679,311.2511201190881,39.42394366197183,271.82717645711625,72.30958141844867,71.0719369282993,1400,21,103.38,87.30173123662344,15.058628796869726,119.43790405864408,58000000.0,833000.0,340000000.0,707000000.0,975,37,0.19534149843299425,0.004240345704936782,0.375250690976105,0.2147087990035617,0.3253089083780231,0.2593759334325734,0.22652264704759686,0.0602579845153739,0.05922661410691608,0.9787538504654448,0.02124614953455525,0.4099897818491661,0.23458561378151374,0.35542460436932,0.6830363100388008,0.15868238370872445,0.15596638986629893,0.6530169678303506,0.17371104765312748,0.17073782450913183,218.47522492593595,51.07055752015506,21.23902389829361,273.71549942669276,37.535620692395355,False
14,10/4/2019,14:29:50,2799,311.2511201190881,41.790140845070425,269.4609792740177,71.87168106322835,70.39146142970404,1400,21,101.73,85.90834899111726,16.4520110423759,119.43790405864408,60100000.0,469000.0,319000000.0,721000000.0,965,39,0.19202666085424044,0.003676154318173335,0.3526919872197875,0.21895017761016008,0.340237749297625,0.2593759334325734,0.2245508160616814,0.05989306755269029,0.05865955119142003,0.98121562883531,0.01878437116468994,0.3867745980096735,0.24010856497441044,0.373116837015916,0.6847167833647243,0.15810945918459707,0.15485314567879413,0.6527972089174922,0.17411661207752313,0.17053062627745327,206.8890403108348,48.94922126453943,22.92245979868892,263.6718882080836,47.57923191100451,False
15,10/4/2019,14:42:26,2812,311.2511201190881,42.04647887323944,269.2046412458487,71.43196297431949,69.69842017850102,1400,21,101.53,85.73945417348014,16.620905860013025,119.43790405864408,60200000.0,639000.0,312000000.0,724000000.0,965,39,0.1918693004651797,0.0038335147072341333,0.345172419301015,0.21985904445443116,0.346520625601504,0.2593759334325734,0.22433720103820723,0.05952663581193291,0.05808201681541752,0.9804115505244173,0.01958844947558273,0.37866450346739394,0.24119197029050707,0.3801435262420991,0.6864273195344441,0.15753469691863367,0.15371157450167136,0.6543783387706464,0.17363567377567393,0.16942180565785223,201.13786894363298,48.05113233945156,23.380830634867927,261.07822318326805,50.17289693582006,False
16,10/4/2019,14:55:47,2825,311.2511201190881,42.30281690140845,268.94830321767967,71.43196297431949,69.69842017850102,1400,21,101.35,85.58744883760674,16.772911195886422,119.43790405864408,62400000.0,1640000.0,301000000.0,735000000.0,965,38,0.19106945282089582,0.0046333623515179626,0.3333559554286582,0.22319155621675846,0.35473836800223246,0.2593759334325734,0.22412358601473306,0.05952663581193291,0.05808201681541752,0.9763244982069574,0.023675501793042574,0.365808318633831,0.2449193619713015,0.38927231939486756,0.6864273195344441,0.15753469691863367,0.15371157450167136,0.6541628468169308,0.17374393403472008,0.1695274386085573,196.47838087269542,48.50199487892468,22.929968095394813,257.23956503748667,54.01155508160144,False
17,10/4/2019,15:05:49,2835,311.2511201190881,42.5,268.7511201190881,71.43196297431949,69.69842017850102,1400,21,101.18,85.4438882426152,16.916471790877964,119.43790405864408,88400000.0,3390000.0,299000000.0,734000000.0,960,37,0.18928619759633852,0.004477103093316629,0.33120750745186606,0.2228886006020014,0.3582339759995919,0.2593759334325734,0.22395926676590677,0.05952663581193291,0.05808201681541752,0.9768939573315409,0.02310604266845903,0.3630347318816009,0.2443069723314538,0.3926582957869453,0.6864273195344441,0.15753469691863367,0.15371157450167136,0.6539969008347847,0.1738273030640738,0.1696087844010544,194.56116629925808,47.86691940043717,23.56504357388232,254.75581268381606,56.49530743527205,False
18,10/4/2019,16:31:34,2921,391.6894863886053,42.696527428283844,348.99295896032146,71.05707738696863,69.082921894511,1405,21,5.8,4.900656768521005,16.916471790877964,244.55439738233412,70300000.0,2920000.0,390000000.0,617000000.0,1050,38,0.22848760426901293,0.006241909317193911,0.4289618903959086,0.18744279367542938,0.3077491419950085,0.32640790532383773,0.29082746580026786,0.05921423115580719,0.05756910157875917,0.9734080762924535,0.026591923707546497,0.4641671963008383,0.20282640009540204,0.3330064036037597,0.7350365533779982,0.13334427159939857,0.1296396114044383,0.7119576064555599,0.14495887506975588,0.14093153015320406,224.47803248670465,48.16590918622029,22.89116820074834,319.18719843675774,72.50228795184756,False
19,10/7/2019,9:24:42,6814,391.6894863886053,53.4723200805234,338.2171663080819,70.69733958035562,68.37841471310608,1155,21,240.13,196.40573420459643,16.916471790877964,436.0594748184095,101000000.0,10300000.0,359000000.0,592000000.0,1020,37,0.20904337455727787,0.00885909309789453,0.39566094675563035,0.1798689033065037,0.3522535907024634,0.32640790532383773,0.2818476385900683,0.058914449650296345,0.056982012260921734,0.9593437688281992,0.04065623117180077,0.4264582976708028,0.19386949087846575,0.37967221145073143,0.73650746231831,0.13293468417307583,0.12857432851218806,0.7070528325693942,0.1477948465805484,0.1429470666354853,194.11701262362146,43.826825204501134,26.870514375854484,287.0776950869506,104.6117913016547,False
20,10/7/2019,9:34:46,6824,391.6894863886053,53.5,338.1894863886053,70.32911901652942,67.69436740686459,1155,21,239.73,196.07856852899636,17.243637466478035,436.0594748184095,111000000.0,7170000.0,364000000.0,606000000.0,1015,36,0.2088760105273239,0.0062219494726760815,0.4010320666976107,0.18411028191310208,0.34202365312074856,0.32640790532383773,0.2818245719905044,0.05860759918044118,0.056411972839053824,0.9710738796747488,0.028926120325251256,0.43253534528735144,0.19857315903439118,0.3688914956782574,0.7379676169541775,0.13250448165367143,0.12754044398041747,0.7085947345058535,0.1473577548188007,0.14183726647578335,197.92305821306942,42.67454214424358,27.654576872285837,288.6833269241742,103.00615946443111,False
21,10/7/2019,11:05:36,6915,495.7286940530666,56.50557620817844,439.2231178448882,70.00755361737579,66.98346367289332,1400,21,107.72,90.96674877934878,18.831248752266887,436.0594748184095,106000000.0,11000000.0,381000000.0,529000000.0,1085,36,0.24398120923782465,0.010379857934589119,0.41929387450034394,0.16078269957681107,0.35545186698563125,0.41310724504422214,0.36601926487074016,0.058339628014479825,0.05581955306074444,0.9591924265376928,0.040807573462307144,0.448189339945683,0.17186297339518344,0.37994768665913364,0.7821845526744879,0.11046128188048866,0.10568972746201633,0.7608638389908173,0.121273707688772,0.11603509298219129,188.44594696024217,40.7986354402868,29.20891817708899,325.81441230490896,169.91428174815763,False
22,10/7/2019,14:17:50,7107,495.7286940530666,64.0,431.7286940530666,69.7217369807635,66.16383946626307,1400,21,105.31,88.93156622682157,20.86643130479409,436.0594748184095,122000000.0,7750000.0,353000000.0,470000000.0,1070,36,0.2390850790188349,0.006862465188061594,0.3892156028252539,0.14290831830614653,0.40981210331512846,0.41310724504422214,0.35977391171088885,0.05810144748396958,0.05513653288855256,0.9720978503355628,0.02790214966443713,0.4132081083255656,0.1517176481174694,0.435074243556965,0.783551236592688,0.11020252384829536,0.1045788933612967,0.7591913414191489,0.12260509841857462,0.11634856503575197,161.44920789561414,30.19945344907179,39.522283531691706,311.1405489721019,184.5881450809647,False
23,10/7/2019,14:24:00,7114,495.7286940530666,64.0,431.7286940530666,69.43046714308558,65.34263660918738,1400,21,103.32,87.2510627913323,20.86643130479409,445.0277896349402,116000000.0,10500000.0,348000000.0,479000000.0,1075,37,0.2397278922614677,0.00902415960060123,0.38384448288327355,0.14563491883895976,0.4106014285378472,0.41310724504422214,0.35977391171088885,0.05785872261923798,0.054452197174322814,0.9637222706986752,0.03627772930132474,0.40831008412019215,0.154917443427358,0.4367724724524499,0.7849314442420621,0.10993544957716185,0.10346282299072095,0.7606794388597784,0.12233221815847817,0.1151297118634082,159.13884382203122,32.56906979956372,36.86139734352186,310.6080183208884,185.1206757321782,False
24,10/8/2019,8:34:34,8204,495.7286940530666,64.0,431.7286940530666,69.10768992147293,64.64597913210184,1400,21,92.7,78.28274797480164,29.834746121324756,445.0277896349402,85400000.0,2130000.0,391000000.0,531000000.0,955,31,0.20971863258048332,0.004158605974336053,0.43003611438430467,0.16138861080632513,0.3483287385427696,0.41310724504422214,0.35977391171088885,0.057589741601227436,0.05387164927675154,0.9805561077820343,0.019443892217965733,0.4576052453968954,0.1717350528990546,0.37065970170405,0.7862004991012495,0.10960128182973455,0.10252523541255161,0.7620482156278526,0.12198260740192583,0.11410720140616441,185.58899102769345,34.17048512525148,34.937204796221444,292.55085825031335,203.17783580275324,False
25,10/8/2019,8:40:00,8210,495.7286940530666,64.0,431.7286940530666,68.78673043354881,63.94900739845365,1400,21,92.62,78.21519004774679,29.902304048379605,445.0277896349402,97100000.0,2930000.0,392000000.0,528000000.0,955,31,0.20965600829714207,0.004221230257677319,0.43111033837270074,0.16047974396205406,0.34848586682409377,0.41310724504422214,0.35977391171088885,0.05732227536129068,0.05329083949871138,0.9802633029760418,0.01973669702395828,0.45859096678140226,0.1707093390758975,0.3706996941427002,0.7874717834308141,0.10926865832197083,0.10158386938017334,0.7634198976496439,0.12163462709471597,0.11308014814721355,183.50531107975573,33.73974347539471,35.0469869581541,292.22525568704475,203.50343836602184,False
